round_number,global_accuracy,communication_cost_uncompressed_mb,communication_cost_quantized_mb,communication_cost_sparse_mb,encryption_time_ms,gla_success_rate,epsilon,krum_winner_idx,he_avg_norm,krum_norm,num_encrypted_params
1,77.88325053229241,0.054788,0.013697,0.054036,59773.384284973145,86.07079764250578,284.9885448591405,1,3.8321340084075928,3.8321473623748545,37808
2,76.95617459190916,0.054788,0.013697,0.053472,63658.45527648926,74.08182206817179,440.4368420550353,0,1.7705552577972412,1.7706146886569314,40410
3,76.21540099361249,0.054788,0.013697,0.052668,54240.03834724426,63.76281516217733,269.15584792252156,0,3.404257297515869,3.4042711577526914,34322
4,77.13804116394606,0.054788,0.013697,0.053908,76174.33428764343,54.88116360940265,807.4675437675648,4,0.8846166729927063,0.8846146154710237,48126
5,76.85858765081618,0.054788,0.013697,0.053768,61932.14654922485,47.236655274101466,372.6773278927222,0,2.1853222846984863,2.185276592770145,38970
6,76.2331440738112,0.054788,0.013697,0.053952,61567.241621017456,40.656965974059915,372.6773278927222,4,2.149554967880249,2.1495262191607782,38796
7,76.81422995031937,0.054788,0.013697,0.054012,62914.47625160217,34.99377491111553,440.4368420550354,1,1.582419991493225,1.5824058163333634,39945
8,76.28637331440738,0.054788,0.013697,0.053044,68323.14319610596,30.119421191220212,440.4368420550353,3,1.8983678817749023,1.8984258633656466,43314
9,76.65454222853087,0.054788,0.013697,0.053816,65974.98545646667,25.924026064589157,484.4805262605389,1,1.4567245244979858,1.4567133720906678,42056
10,77.43523775727466,0.054788,0.013697,0.053604,63106.01263046265,22.313016014842983,440.4368420550354,3,1.5889216661453247,1.588890071684453,39992
11,76.29968062455642,0.054788,0.013697,0.05408,61361.07244491577,19.204990862075412,372.6773278927222,3,2.163006067276001,2.1629767827759556,38973
12,77.04488999290277,0.054788,0.013697,0.052952,59634.77387428284,16.529888822158657,403.7337718837824,3,1.7235790491104126,1.723560708996758,37609
13,76.77430801987225,0.054788,0.013697,0.05374,65950.86159706116,14.227407158651358,484.4805262605389,4,1.4615484476089478,1.461537036307592,41952
14,76.23757984386089,0.054788,0.013697,0.054104,68845.91884613037,12.5,440.4368420550354,0,1.9114140272140503,1.911372564653687,43466
15,75.8250532292406,0.054788,0.013697,0.054212,70287.56079673767,12.5,538.3116958450432,1,1.3411959409713745,1.3411709638085052,44387
16,75.94481902058197,0.054788,0.013697,0.053912,61109.91449356079,12.5,372.6773278927222,0,2.167088031768799,2.1671397957765737,38823
17,76.75212916962386,0.054788,0.013697,0.053792,66192.93518066406,12.5,484.4805262605389,1,1.4546012878417969,1.454589725425038,42161
18,77.04932576295245,0.054788,0.013697,0.053924,62682.39092826843,12.5,440.4368420550353,4,1.5815411806106567,1.5815263439153031,39793
19,74.00195173882186,0.054788,0.013697,0.053104,54833.126401901245,12.5,269.15584792252156,0,3.412297487258911,3.4123099244441972,34743
20,75.48793470546487,0.054788,0.013697,0.05402,61015.132665634155,12.5,372.6773278927222,3,2.158388376235962,2.1583592334590773,38736
